"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
22,29,1.0669103575634,0.258773837828349,0.621255442113345,0.680097150102935,0.88267207353978,1.04619061746938,1.22722326838997,1.52500158124273,1.63016658356476,2020-04-05
29,36,0.82910010583007,0.230228525735521,0.439212310506289,0.490100821073147,0.664920418928449,0.806914872993368,0.972253531787763,1.24009263390947,1.3362240117066,2020-04-12
36,43,1.27114550128931,0.31604898808517,0.732195720531785,0.802781797009409,1.04534259873756,1.24336484266904,1.46805034811151,1.83063489104118,1.96222345575693,2020-04-19
43,50,1.4488157406471,0.282106790341469,0.950030894653467,1.01694403190023,1.2507811014454,1.43106898204663,1.62752026746787,1.94240655455268,2.04763328813286,2020-04-26
50,57,1.13248309743666,0.19995463524478,0.776498064168989,0.825599686765473,0.991075112405148,1.12020807411016,1.25951921385137,1.48088236921278,1.5564386102783,2020-05-03
57,64,1.02673350502698,0.17852531124746,0.706451857995565,0.752840720962764,0.901139707050054,1.01667984910301,1.14125155210162,1.33509458469772,1.40555478988222,2020-05-10
64,71,0.887390182081122,0.170552293385103,0.584963579366904,0.628140882489129,0.767649934742155,0.876291289980483,0.995411493806789,1.18577755685073,1.25370128432222,2020-05-17
71,78,1.004741202004,0.201304160266331,0.65151167978164,0.700048012402649,0.862665595973625,0.99083055359475,1.13319654699348,1.35798613144333,1.43706398214089,2020-05-24
78,85,1.03260578536829,0.205583671005756,0.669126559168696,0.71960286965582,0.887093324475022,1.01959495997632,1.16243850196346,1.39350052976659,1.47232991693523,2020-05-31
85,92,1.29924863811777,0.222193640707651,0.902078029537905,0.956747433392916,1.14276771628061,1.28620093861604,1.44140666969223,1.68849617223338,1.76689167498431,2020-06-07
92,99,1.4610721307689,0.196288994753677,1.10653110119046,1.15693026174295,1.32379628521563,1.45102448043982,1.58736697520216,1.79956537838934,1.87537161920112,2020-06-14
99,106,1.17230576720594,0.134036216286526,0.92721983105381,0.962440419921113,1.07827668904701,1.16674715997395,1.25891373263962,1.40280559692577,1.45153086583991,2020-06-21
106,113,1.0821124007128,0.115223614895649,0.867222579678738,0.899454911321749,1.00249469760316,1.07763047483711,1.15753612858505,1.27891370244305,1.31861470670495,2020-06-28
113,120,1.0938045134608,0.109563863912926,0.889992378322616,0.919899843188969,1.01790628117939,1.08997070650015,1.16597732552078,1.28025594674422,1.3186563199796,2020-07-05
120,127,1.03688502019509,0.101162912502283,0.847603940452026,0.875696899820008,0.966508065125067,1.03371254255304,1.1038066682596,1.20881926851802,1.24121665249668,2020-07-12
127,134,1.00841050012598,0.0980512213443517,0.825455561018922,0.853114091422852,0.940657759199618,1.00484240979346,1.07254308375136,1.17501275091763,1.20943681036507,2020-07-19
134,141,1.01791548467022,0.098369591311462,0.835035859289832,0.862463644339721,0.949940865806443,1.0145695298168,1.08239234042199,1.18583570343634,1.2209463452048,2020-07-26
141,148,0.975151089519635,0.0966139601834724,0.795046074729736,0.822211576342472,0.908445085414915,0.971721675213688,1.03824426401391,1.13975950865109,1.1740302748272,2020-08-02
148,155,1.0082434277518,0.101352194347801,0.817499352269229,0.846179024322024,0.937860454057984,1.0054257226162,1.07462532924339,1.18021527414333,1.21333776709778,2020-08-09
155,162,1.00411860799845,0.100036086047318,0.818106524097662,0.845283533954156,0.93511894999712,1.00100818123932,1.07022016973068,1.17500838453976,1.20922981222753,2020-08-16
162,169,1.13424210142735,0.10611299526824,0.936975057419645,0.965558135889372,1.06084326251352,1.13079139111738,1.2035268954512,1.31491874709185,1.35164997484637,2020-08-23
169,176,1.00856312509347,0.0924997125109566,0.835800005436036,0.862048111031669,0.944328554492951,1.00551680769537,1.06893468515757,1.16610693232239,1.19783376876379,2020-08-30
176,183,0.94224474542756,0.0909683064767003,0.770437314468959,0.79670652609623,0.879910541942972,0.939434129807193,1.00227831100483,1.09572619255066,1.12819616708397,2020-09-06
183,190,0.969002437120167,0.0960014129677041,0.790374676707368,0.816889505281111,0.902788357599414,0.965771680666173,1.03175318181494,1.13183991977078,1.16676214035228,2020-09-13
190,197,1.02325734767932,0.100931192611609,0.834774907067262,0.864164781141447,0.953905099301254,1.01986203981637,1.08895197980329,1.19504317653768,1.23085465644677,2020-09-20
197,204,1.01397687717971,0.0989213184339237,0.830102606535532,0.857361033592073,0.945391247993031,1.01087928290933,1.07814989252114,1.18359903279623,1.2179996895661,2020-09-27
204,211,0.851562137256393,0.0925215007083124,0.68017683111608,0.705524569041329,0.787392055904558,0.847934322130271,0.912111475704613,1.00974106904472,1.04318708024673,2020-10-04
211,218,0.870057244243175,0.109608548461593,0.669617855891217,0.698481241023533,0.793533827235228,0.86509662935536,0.941691832707386,1.05820603319457,1.09782742287843,2020-10-11
218,225,1.00518804171793,0.124687156161459,0.776239255615261,0.809287753295045,0.918488115562901,0.99978715991295,1.08607090078198,1.21822717621718,1.26446220483528,2020-10-18
225,232,1.05544875436512,0.128179235038979,0.820043103790521,0.854384271348499,0.966140743209315,1.05000914919832,1.13922247816082,1.27535516584935,1.32242078822811,2020-10-25
232,239,0.867183056736594,0.115425398777408,0.655087541369551,0.68605949866886,0.787019045351057,0.861636473130406,0.942086447642267,1.06553121290889,1.10584801782178,2020-11-01
239,246,1.04649359980509,0.142158574472478,0.787155232604933,0.823536019316174,0.947730791676514,1.03987023417256,1.13792852022602,1.29153404030844,1.34500404790844,2020-11-08
246,253,1.15567737229331,0.140318376349379,0.895906525803593,0.934935594805602,1.05859128428698,1.15060701116643,1.24716278950198,1.3938748037646,1.44489339565427,2020-11-15
253,260,1.22595632314264,0.12865553132953,0.986783029525363,1.0216009963785,1.13663197397003,1.22192153553645,1.30941607127732,1.44453020469414,1.49156578082374,2020-11-22
260,267,1.25244944208327,0.113332906773746,1.04038308673997,1.0728392643432,1.17341022429183,1.24886302298083,1.32722189948632,1.44487463056019,1.48338673199964,2020-11-29
267,274,1.15286743512558,0.0925203311986581,0.980818575125935,1.00703173482047,1.08889805361096,1.14973207894448,1.2131368069259,1.31035552651347,1.34455597679474,2020-12-06
274,281,0.947826513659133,0.0762657222158371,0.804552216648986,0.826737666129588,0.895354283664416,0.945751404304541,0.998112574591784,1.07754147951737,1.10299399207079,2020-12-13
281,288,0.964610717988629,0.0818788752789129,0.810592641741148,0.834418178208036,0.908364771944704,0.962154247875857,1.01815415141012,1.10427881338661,1.13179708942063,2020-12-20
288,295,0.927830666573208,0.0823271752253666,0.774224635738127,0.797485635143755,0.871027295582333,0.92509775160397,0.98182765746839,1.06747605100753,1.09674047647137,2020-12-27
295,302,1.02240226039204,0.0920332859747977,0.850781081530574,0.87715870808109,0.958811416649168,1.01900876073842,1.08315580935938,1.17874576166415,1.20999143355624,2021-01-03
302,309,1.03564669315559,0.0892923143919675,0.86867134183958,0.893628655040405,0.974006238365433,1.03335974367942,1.0942630733165,1.18713614540482,1.21774223851341,2021-01-10
309,316,0.980755568297362,0.0860253198459102,0.818460732175198,0.842808019679436,0.921632415034362,0.978481688692701,1.037376909345,1.12647254433663,1.15673695023348,2021-01-17
316,323,1.00514627968786,0.0883213532420047,0.838932324288674,0.863993671623485,0.944474342544551,1.00259097037809,1.0632794300746,1.1549112508171,1.18617458923753,2021-01-24
323,330,0.990687088698326,0.0876027852921424,0.826452283703524,0.851078406276529,0.930029715363213,0.988221863984076,1.04803055530498,1.1377601244985,1.170061804882,2021-01-31
330,337,1.12034728461667,0.0930572885917685,0.944691255528407,0.971694743252367,1.0563509982301,1.1179049906637,1.18122542731053,1.27674958711821,1.30946486367891,2021-02-07
337,344,1.19046160827223,0.0890748639263081,1.02278559604269,1.04839939497974,1.12932508266042,1.1879209488874,1.24890243592229,1.33999842993517,1.37084759484674,2021-02-14
344,351,1.24047045425449,0.0809263720348091,1.08822626485395,1.11118712266244,1.18471259191541,1.23829980011114,1.29375311263277,1.37742499285058,1.40455212392504,2021-02-21
351,358,1.11859693598791,0.0659859725346695,0.994216728489076,1.01297225762787,1.07305951208576,1.11706350545783,1.16218801397844,1.23025110072522,1.25201807693151,2021-02-28
358,365,0.985635796801857,0.0560006020223579,0.878572309748914,0.895505366175899,0.947512590920399,0.984783735537081,1.02277494276415,1.08010204420726,1.0989314694505,2021-03-07
365,372,1.09537846648526,0.0588506619690513,0.982156044813133,1.00011753307986,1.05509448255976,1.09427467459052,1.13452193078187,1.19355980086676,1.21318893202502,2021-03-14
372,379,1.11328882026768,0.056814561956095,1.00494428514121,1.0215601537082,1.07454497665889,1.11197266832812,1.15080538447404,1.20903103595683,1.22719255111319,2021-03-21
379,386,0.911488525858778,0.0471992225470967,0.821668039875827,0.835508929607356,0.878904759117233,0.91055770717508,0.943065445662125,0.990764252360257,1.00644111743126,2021-03-28
386,393,0.893395437263827,0.0531348529966265,0.792164518434353,0.807555932523944,0.856880240819884,0.892554497583127,0.928451055215468,0.982869167107578,1.00012602665892,2021-04-04
393,400,0.984686726990406,0.0574714251438469,0.875069649669618,0.892292136407299,0.945297600273375,0.983558823679396,1.02242208055164,1.08182429434905,1.10118402116179,2021-04-11
400,407,0.920366895879884,0.0564992639598253,0.812760767693928,0.829717411055808,0.881767492373751,0.919042103990563,0.95783200215277,1.01535986154372,1.03408819204091,2021-04-18
407,414,0.95249171594587,0.0621684247094094,0.834989932971029,0.852746178303714,0.909773937931754,0.95135979688948,0.993440249353919,1.05687281934105,1.07860129341936,2021-04-25
414,421,1.09111425474588,0.0666795262779679,0.963227085016215,0.983055413979148,1.04580649012457,1.09005942346923,1.13520548692368,1.2028778378655,1.22455170525686,2021-05-02
421,428,1.06498392393497,0.0623266534183117,0.946488111340311,0.964408262847344,1.0222895419384,1.06369694121614,1.10600551865928,1.1702513328019,1.19053490543599,2021-05-09
428,435,1.10630872026285,0.0604022341299219,0.989747643394118,1.00832596479267,1.06559647372375,1.10509305251387,1.14627564364988,1.20746046168676,1.227574636495,2021-05-16
435,442,1.04241987013884,0.0549166837063222,0.937928327315575,0.954689621734084,1.0049319091564,1.04137276529308,1.07883547301888,1.13472814756209,1.15436925434413,2021-05-23
442,449,1.04223784757577,0.0527933211177224,0.941458162708199,0.956888019078054,1.00597566202229,1.041312780902,1.07776487858848,1.13026415471003,1.14787122715034,2021-05-30
449,456,0.973604998517047,0.0502936452946506,0.878436192341073,0.892633332460651,0.939125099764203,0.972611313699162,1.00714655490756,1.05789112308833,1.07461584209045,2021-06-06
456,463,0.93125721819934,0.0510067080035232,0.83470950625676,0.849262759327749,0.896039303039759,0.930274367556442,0.965198598730765,1.01729435285913,1.03430515807113,2021-06-13
463,470,0.904081676469673,0.0537125461071853,0.801908970234087,0.817518764906886,0.867122826115748,0.902947764519537,0.939945722349672,0.994270361384618,1.01242825317358,2021-06-20
470,477,0.927087933725852,0.0587228439466889,0.815388668655481,0.832516065954418,0.886787603300198,0.926048771471873,0.965896799302762,1.02623944497958,1.0463188207584,2021-06-27
477,484,0.853161772949706,0.0593848783172439,0.740697613255153,0.758006787746261,0.81260876925341,0.851934781200102,0.89270733532277,0.952370234934073,0.973085194888865,2021-07-04
484,491,0.858247412365168,0.0708586307105192,0.725930287927475,0.745533873620827,0.80919467076173,0.856262227383974,0.904720775652647,0.978434208746249,1.00279699636193,2021-07-11
491,498,0.890665722381733,0.0769465937754783,0.745254863702441,0.767763918263056,0.838010515404505,0.888296903640934,0.941139200330201,1.02092095340395,1.04685396943965,2021-07-18
498,505,0.862216404518715,0.0845060264904469,0.704329535556445,0.726773062279506,0.804078762854353,0.859607062144333,0.917596552093495,1.00470689872687,1.0358674302334,2021-07-25
505,512,0.875225711278382,0.0951958126292297,0.699975049704051,0.72576641616694,0.808742919029433,0.871750141992576,0.937770082342995,1.03725857575404,1.0710692219666,2021-08-01
512,519,0.9182366960918,0.106777633801989,0.719869195152518,0.750278476922907,0.844414580344823,0.914107761883249,0.988040243254065,1.09999508194369,1.13819637653744,2021-08-08
519,526,0.945813358661945,0.115250964778004,0.732373827923501,0.764552567751739,0.865541514066464,0.941555782468946,1.02021495572288,1.14487633890105,1.18574157854939,2021-08-15
526,533,0.877997656007344,0.11855302864974,0.66021514864783,0.691636671623243,0.795896228904635,0.873487922572501,0.954319418569342,1.08067692033681,1.12561716716258,2021-08-22
533,540,0.887453360018349,0.132726478196559,0.647026478270117,0.681695717536552,0.794260509037548,0.880686959765835,0.973678044182734,1.11738697733851,1.16521614596014,2021-08-29
540,547,0.907059564678736,0.147331381188899,0.641890202588153,0.679546724945321,0.804109258695213,0.899133259576778,1.00156976164228,1.16261825086492,1.21825734024809,2021-09-05
